axis,size,iterations,parse_p50_us,parse_p95_us,parse_p99_us,parse_max_us,validate_p50_us,validate_p95_us,validate_p99_us,validate_max_us,encode_p50_us,encode_p95_us,encode_p99_us,encode_max_us,lookup_p50_ns,lookup_p95_ns,lookup_p99_ns,lookup_max_ns,total_p50_us,total_p95_us,total_p99_us,total_max_us
packages,1,100,1,1,1,18,0,0,0,5,0,0,0,5,0,100,100,100,2,2,3,29
packages,10,100,8,8,9,11,3,3,4,10,2,2,3,3,100,100,100,100,15,15,19,21
packages,100,100,92,96,98,239,30,36,38,38,43,45,47,49,100,100,100,200,166,175,186,320
packages,1000,30,884,936,967,1001,302,331,397,459,610,727,736,741,100,200,200,200,1792,1953,1955,2106
packages,10000,10,9081,9765,9765,9814,3269,3427,3427,3471,7967,8275,8275,8345,400,500,500,600,20481,20821,20821,21633
rules,0,100,1,1,1,4,0,0,0,0,0,0,0,1,0,100,100,200,1,1,2,6
rules,1,100,1,1,1,2,0,0,0,5,0,0,0,0,0,100,100,100,2,2,3,8
rules,4,100,2,2,2,2,1,1,1,6,0,0,0,1,0,100,100,100,4,4,5,9
rules,16,100,5,5,6,10,5,5,5,5,1,1,1,1,0,100,100,100,12,12,13,17
rules,32,100,9,9,12,12,9,10,10,11,2,2,2,2,0,100,100,100,21,22,24,25
rules,64,100,16,17,22,38,19,21,26,30,4,5,6,8,100,100,100,100,41,47,54,66
